"ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CITATION","CONTRIBUTOR","LINE_NOTES","FILE_NOTES"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1961","1582","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1962","845","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1963","410","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1964","1039","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1965","486","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1966","1181","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1967","817","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1968","345","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1969","1039","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Lower Snake","93","Tucannon River","Tucannon R.","1.1","","Tucannon River","1970","1055","-99","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1954-2019). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Washington Department of Fish and Wildlife","",""
