Citation,Contributor,NMFS_POPID,DISPLAY_ORDER,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,SPECIES,Run,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,1997,271,0.849,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,1998,238,0.849,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,1999,2357,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2000,1269,0.961,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2001,4371,0.953,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2002,16753,0.997,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2003,10303,0.989,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2004,4768,0.985,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2005,695,0.987,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2006,1895,0.99,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2007,399,0.987,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2008,1844,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2009,4252,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2010,2040,0.954,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2011,7857,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2012,1751,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2013,983,0.962,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2014,6369,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2015,1029,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,179,4,"Salmon, coho (Oregon Coast ESU)",North Coast,Nestucca River,Nestucca R.,Coho salmon,Fall,,Nestucca River,2016,2412,1,-99,-99,-99,-99,-99,-99,-99,-99
