#' Lower Columbia River Chinook Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1965, 5509, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1966, 2684, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1967, 3305, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1968, 2806, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1969, 2191, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1970, 2738, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1971, 3102, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1972, 3222, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1973, 6199, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1974, 12449, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1975, 17761, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1976, 7517, -99
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1977, 6484, 0.5
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1978, 3637, 0.5
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1979, 2704, 0.5
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1980, 5675, 0.5
11, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Kalama River", 1981, 1840, 0.5
