"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",1998,66,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",1999,157,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",2000,412,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",2001,729,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",2002,2787,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",2003,2532,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",2004,1397,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",2005,691,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",2006,999,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",2007,1253,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",243,"Steelhead (Lower Columbia River DPS)","Cascade winter","Upper Cowlitz and Cispus Winter Steelhead","Up. Cowlitz R.","1.2.1.4","Steelhead","Winter","Upper Cowlitz River",2008,1089,-99
