"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICSRSSchinookModel","Model","CAX05262105","Nez Perce Tribe",59,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Big Creek","Big Ck.",4.3,"Chinook salmon",NA,"Big Creek",2015,1136,1
"ICSRSSchinookModel","Model","CAX05262106","Nez Perce Tribe",59,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Big Creek","Big Ck.",4.3,"Chinook salmon",NA,"Big Creek",2016,753,1
"ICSRSSchinookModel","Model","CAX05262107","Nez Perce Tribe",59,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Big Creek","Big Ck.",4.3,"Chinook salmon",NA,"Big Creek",2017,146,1
"ICSRSSchinookModel","Model","CAX05262108","Nez Perce Tribe",59,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Big Creek","Big Ck.",4.3,"Chinook salmon",NA,"Big Creek",2018,330,1
"ICSRSSchinookModel","Model","CAX05262109","Nez Perce Tribe",59,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Big Creek","Big Ck.",4.3,"Chinook salmon",NA,"Big Creek",2019,174,1
"ICSRSSchinookModel","Model","CAX05262110","Nez Perce Tribe",58,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Bear Valley Creek","Bear Valley Ck.",4.9,"Chinook salmon",NA,"Bear Valley Creek",2015,1405,1
"ICSRSSchinookModel","Model","CAX05262111","Nez Perce Tribe",58,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Bear Valley Creek","Bear Valley Ck.",4.9,"Chinook salmon",NA,"Bear Valley Creek",2016,450,1
"ICSRSSchinookModel","Model","CAX05262112","Nez Perce Tribe",58,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Bear Valley Creek","Bear Valley Ck.",4.9,"Chinook salmon",NA,"Bear Valley Creek",2017,25,1
"ICSRSSchinookModel","Model","CAX05262113","Nez Perce Tribe",58,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Bear Valley Creek","Bear Valley Ck.",4.9,"Chinook salmon",NA,"Bear Valley Creek",2018,239,1
"ICSRSSchinookModel","Model","CAX05262114","Nez Perce Tribe",58,"Salmon, Chinook (Snake River spring/summer-run ESU)","Middle Fork Salmon","Bear Valley Creek","Bear Valley Ck.",4.9,"Chinook salmon",NA,"Bear Valley Creek",2019,134,1
"ICSRSSchinookModel","Model","CAX05262115","Nez Perce Tribe",86,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","Panther Creek","Panther Ck.",5.1,"Chinook salmon",NA,"Panther Creek",2018,130,1
"ICSRSSchinookModel","Model","CAX05262116","Nez Perce Tribe",86,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","Panther Creek","Panther Ck.",5.1,"Chinook salmon",NA,"Panther Creek",2019,101,1
"ICSRSSchinookModel","Model","CAX05262117","Nez Perce Tribe",84,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","North Fork Salmon River","NF Salmon R.",5.2,"Chinook salmon",NA,"North Fork Salmon River",2016,59,1
"ICSRSSchinookModel","Model","CAX05262118","Nez Perce Tribe",84,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","North Fork Salmon River","NF Salmon R.",5.2,"Chinook salmon",NA,"North Fork Salmon River",2017,23,1
"ICSRSSchinookModel","Model","CAX05262119","Nez Perce Tribe",84,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","North Fork Salmon River","NF Salmon R.",5.2,"Chinook salmon",NA,"North Fork Salmon River",2018,52,1
"ICSRSSchinookModel","Model","CAX05262120","Nez Perce Tribe",84,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","North Fork Salmon River","NF Salmon R.",5.2,"Chinook salmon",NA,"North Fork Salmon River",2019,28,1
"ICSRSSchinookModel","Model","CAX05262121","Nez Perce Tribe",70,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","Lemhi River","Lemhi R.",5.3,"Chinook salmon",NA,"Lemhi River",2010,160,1
"ICSRSSchinookModel","Model","CAX05262122","Nez Perce Tribe",70,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","Lemhi River","Lemhi R.",5.3,"Chinook salmon",NA,"Lemhi River",2011,285,1
"ICSRSSchinookModel","Model","CAX05262123","Nez Perce Tribe",70,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","Lemhi River","Lemhi R.",5.3,"Chinook salmon",NA,"Lemhi River",2012,113,1
"ICSRSSchinookModel","Model","CAX05262124","Nez Perce Tribe",70,"Salmon, Chinook (Snake River spring/summer-run ESU)","Upper Salmon","Lemhi River","Lemhi R.",5.3,"Chinook salmon",NA,"Lemhi River",2013,437,1
