"Series","Method","Citation","Contributor","NMFS_POPID","ESU","Species","MAJOR_POPULATION_GROUP","DISPLAY_ORDER","POP_NAME_LONG","COMMON_POPULATION_NAME","RUN_TIMING","START_YEAR","END_YEAR","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","Age1","Age2","Age3","Age4","Age5"
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1981,2374,1,0,0,0.63,0.33,0.03
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1982,2623,1,0,0,0.19,0.8,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1983,899,1,0,0,0.47,0.44,0.09
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1984,1414,1,0,0,0.54,0.45,0.02
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1985,1109,1,0,0.01,0.48,0.49,0.02
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1986,2552,1,0,0,0.74,0.24,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1987,757,1,0,0.01,0.26,0.72,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1988,2967,1,0,0,0.36,0.63,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1989,598,1,0,0,0.39,0.54,0.07
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1990,429,1,0,0.01,0.48,0.49,0.03
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1991,747,1,0,0,0.85,0.14,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1992,1945,1,0,0,0.08,0.91,0
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1993,707,1,0,0.03,0.64,0.2,0.13
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1994,2044,1,0,0.02,0.59,0.38,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1995,8971,0.83,0,0,0.9,0.09,0.01
"HCChumSR2020",NA,"A&P_P2bHoodCanalAll_Qcombo_V78_18","WDFW, Point No Point Treaty Council",126,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Hood Canal","Hood Canal","SumR",NA,"1968-2019",1996,19707,0.87,0,0.01,0.06,0.89,0.04
