NMFS_POPID,ESU,Species,MAJOR_POPULATION_GROUP,DISPLAY_ORDER,POP_NAME_LONG,COMMON_POPULATION_NAME,RUN_TIMING,START_YEAR,END_YEAR,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,Age1,Age2,Age3,Age4,Age5,Sum of age,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,AGE_NOTES,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,TOTAL_SPAWNERS_EXC_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,HATCHERY_RETURN,HATCHERY_RETURN_NOR,Date Uploaded,Data Submitted by
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2010,2068.700515,0.17077891,617.767506,0,0.00063922,0.47269248,0.51755542,0.00911289,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2011,2268.89391,0.13339223,316.7759151,0,0.00190027,0.34067976,0.62306114,0.03435883,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2012,2467,0.25010134,481.8333898,0,0,0.6270709,0.33943477,0.03349433,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2013,1671,0.44165171,607.7367758,0,0,0.4156551,0.5843449,0,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2014,1040,0.50769231,678.9098484,0,0,0.54981502,0.45018498,0,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2015,1506.507308,0.47508306,602.6527825,0,0.00080618,0.47118759,0.50735515,0.02065108,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2016,966.5496168,0.82572614,960.7203291,0,0.00140265,0.26275549,0.69070245,0.04513941,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2017,3482,0.41470419,3549.929962,0,0,0.62265818,0.29890192,0.0784399,1,,,,,,,,,,,,,,,,,,,,,,,
43,"Salmon, Chinook (Puget Sound DPS)",Chinook,Central/South Puget Sound,18,Nisqually Chinook,Nisqually R.,fall,1968,2018,2018,2263.810566,0.18423384,958.0640963,0,0.00184587,0.10253546,0.87510907,0.02050959,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1968,2469.402571,0.439079323,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1969,2074.190066,0.439079323,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1970,2123.988679,0.439079323,5968.317631,0,0.004813776,0.714731979,0.203020087,0.077434158,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1971,3062.391759,0.439079323,12312.03038,0,0.043627044,0.02369597,0.924090553,0.008586433,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1972,1086.740023,0.439079323,3185.914369,0,0.007972683,0.762767405,0.099449127,0.129810785,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1973,1858.439899,0.439079323,7866.509581,0,0.045549271,0.036448901,0.914144416,0.003857412,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1974,691.6646365,0.439079323,1599.34012,0,0.007962174,0.702412141,0.160104259,0.129521427,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1975,1950.200052,0.439079323,5961.472265,0,0.053095466,0.110033467,0.830104845,0.006766222,1,,,,,,,,,,,,,,,,,,,,,,,
47,"Salmon, Chinook (Puget Sound DPS)",Chinook,Hood Canal,19,Skokomish Chinook,Skokomish R.,fall,1968,2018,1976,1160.626273,0.439079323,3660.37778,0,0.021487259,0.516453949,0.383825738,0.078233054,1,,,,,,,,,,,,,,,,,,,,,,,
